FeatureCode,DateCode,Measurement,Units,Value,Waste Management,Waste Category
S12000039,2011,Count,Tonnes,0,Waste Generated,Batteries and accumulators wastes
S12000042,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Batteries and accumulators wastes
S12000033,2011,Count,Tonnes,387,Recycled (pre 2014 method),"Metallic wastes, ferrous"
S92000003,2011,Count,Tonnes,37697,Other Diversion (pre 2014 method),Total Waste
S12000017,2011,Count,Tonnes,162,Landfilled,Combustion wastes
S12000033,2011,Count,Tonnes,691,Recycled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000019,2011,Count,Tonnes,641,Recycled (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000013,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, non-ferrous"
S12000013,2011,Count,Tonnes,0,Recycled (pre 2014 method),Batteries and accumulators wastes
S92000003,2011,Count,Tonnes,1045013,Recycled,Total Waste
S12000049,2011,Count,Tonnes,0,Recycled (pre 2014 method),Combustion wastes
S12000029,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000029,2011,Count,Tonnes,1769,Recycled (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000042,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Household and similar wastes
S12000017,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Plastic wastes
S12000039,2011,Count,Tonnes,789,Recycled (pre 2014 method),Glass wastes
S12000029,2011,Count,Tonnes,1680,Waste Generated,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000033,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Paper and cardboard wastes
S12000029,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mixed and undifferentiated materials
S12000013,2011,Count,Tonnes,0,Other Diversion,Animal and mixed food waste
S12000034,2011,Count,Tonnes,0,Landfilled,Textile wastes
S92000003,2011,Count,Tonnes,0,Waste Generated,Combustion wastes
S12000029,2011,Count,Tonnes,0,Other Diversion,Discarded vehicles
S12000035,2011,Count,Tonnes,13691,Recycled,Total Waste
S12000029,2011,Count,Tonnes,77,Recycled (pre 2014 method),Rubber wastes
S12000019,2011,Count,Tonnes,2490,Recycled (pre 2014 method),Glass wastes
S12000017,2011,Count,Tonnes,75,Recycled,"Metallic wastes, non-ferrous"
S12000019,2011,Count,Tonnes,0,Landfilled,Used oils
S12000041,2011,Count,Tonnes,0,Other Diversion,Rubber wastes
S12000042,2011,Count,Tonnes,969,Recycled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000029,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Rubber wastes
S12000017,2011,Count,Tonnes,12,Recycled,Animal and mixed food waste
S92000003,2011,Ratio,Percentage,1,Other Diversion (pre 2014 method),Total Waste
S12000041,2011,Count,Tonnes,0,Waste Generated,"Metallic wastes, ferrous"
S92000003,2011,Count,Tonnes,240346,Recycled (pre 2014 method),Paper and cardboard wastes
S12000035,2011,Count,Tonnes,225,Recycled (pre 2014 method),Plastic wastes
S92000003,2011,Count,Tonnes,2606759,Waste Generated,Total Waste
S12000041,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Discarded vehicles
S12000017,2011,Count,Tonnes,0,Landfilled,Animal and mixed food waste
S92000003,2011,Count,Tonnes,0,Other Diversion,Chemical wastes
S12000033,2011,Count,Tonnes,1420,Recycled (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000017,2011,Count,Tonnes,37,Waste Generated,Animal and mixed food waste
S12000041,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, non-ferrous"
S12000049,2011,Count,Tonnes,18369,Waste Generated,Vegetal wastes
S12000042,2011,Count,Tonnes,29,Recycled (pre 2014 method),"Metallic wastes, non-ferrous"
S92000003,2011,Count,Tonnes,0,Other Diversion,Vegetal wastes
S12000050,2011,Count,Tonnes,160246,Waste Generated,Total Waste
S12000019,2011,Count,Tonnes,0,Recycled (pre 2014 method),Household and similar wastes
S12000049,2011,Count,Tonnes,0,Waste Generated,Discarded vehicles
S12000034,2011,Count,Tonnes,393,Waste Generated,Animal and mixed food waste
S12000035,2011,Count,Tonnes,0,Landfilled,Textile wastes
S12000033,2011,Count,Tonnes,0,Other Diversion,Used oils
S12000033,2011,Count,Tonnes,387,Recycled,"Metallic wastes, ferrous"
S12000042,2011,Count,Tonnes,0,Recycled (pre 2014 method),Combustion wastes
S12000045,2011,Count,Tonnes,9944,Recycled,Vegetal wastes
S12000029,2011,Count,Tonnes,0,Recycled,Health care and biological wastes
S12000029,2011,Count,Tonnes,0,Recycled (pre 2014 method),Soils
S12000019,2011,Count,Tonnes,0,Landfilled,Textile wastes
S12000039,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000019,2011,Count,Tonnes,6,Recycled,Used oils
S12000019,2011,Count,Tonnes,0,Recycled (pre 2014 method),"Metallic wastes, ferrous"
S92000003,2011,Count,Tonnes,94903,Recycled (pre 2014 method),Glass wastes
S12000035,2011,Count,Tonnes,5,Waste Generated,Batteries and accumulators wastes
S12000017,2011,Count,Tonnes,0,Waste Generated,Soils
S12000019,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Discarded vehicles
S12000013,2011,Count,Tonnes,0,Landfilled,Animal and mixed food waste
S12000041,2011,Count,Tonnes,1279,Waste Generated,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000039,2011,Count,Tonnes,0,Landfilled,Wood wastes
S12000013,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, ferrous"
S12000019,2011,Count,Tonnes,287,Recycled,Textile wastes
S92000003,2011,Count,Tonnes,541,Recycled,Batteries and accumulators wastes
S12000041,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Textile wastes
S12000033,2011,Count,Tonnes,0,Other Diversion,Paper and cardboard wastes
S92000003,2011,Count,Tonnes,36616,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000045,2011,Count,Tonnes,398,Recycled,Plastic wastes
S12000035,2011,Count,Tonnes,46301,Waste Generated,Total Waste
S12000013,2011,Ratio,Percentage,27,Recycled,Total Waste
S12000041,2011,Ratio,Percentage,42,Recycled,Total Waste
S12000033,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, ferrous"
S92000003,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, ferrous"
S12000039,2011,Count,Tonnes,0,Waste Generated,"Metallic wastes, ferrous"
S12000041,2011,Count,Tonnes,0,Landfilled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000039,2011,Count,Tonnes,0,Landfilled,Plastic wastes
S12000042,2011,Count,Tonnes,29,Recycled,"Metallic wastes, non-ferrous"
S12000049,2011,Count,Tonnes,6472,Recycled,Wood wastes
S12000035,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Textile wastes
S12000019,2011,Ratio,Percentage,0,Other Diversion,Total Waste
S12000049,2011,Count,Tonnes,0,Waste Generated,Soils
S12000033,2011,Count,Tonnes,1420,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000049,2011,Ratio,Percentage,0,Other Diversion,Total Waste
S12000033,2011,Count,Tonnes,12,Waste Generated,Used oils
S12000049,2011,Count,Tonnes,0,Other Diversion,Combustion wastes
S92000003,2011,Count,Tonnes,0,Other Diversion,Plastic wastes
S92000003,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Animal and mixed food waste
S12000034,2011,Count,Tonnes,0,Landfilled,Used oils
S12000019,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Glass wastes
S12000029,2011,Count,Tonnes,0,Landfilled,Soils
S12000035,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Animal and mixed food waste
S12000019,2011,Count,Tonnes,7945,Waste Generated,Vegetal wastes
S12000013,2011,Count,Tonnes,758,Recycled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000041,2011,Count,Tonnes,0,Other Diversion,Plastic wastes
S92000003,2011,Count,Tonnes,22525,Recycled,Soils
S12000045,2011,Count,Tonnes,3,Recycled,Used oils
S12000029,2011,Count,Tonnes,0,Landfilled,Rubber wastes
S12000040,2011,Count,Tonnes,0,Recycled (pre 2014 method),Rubber wastes
S12000042,2011,Count,Tonnes,0,Other Diversion,Household and similar wastes
S12000042,2011,Count,Tonnes,0,Landfilled,Used oils
S92000003,2011,Count,Tonnes,328891,Recycled,Vegetal wastes
S12000013,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, non-ferrous"
S12000050,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Chemical wastes
S92000003,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Vegetal wastes
S12000041,2011,Count,Tonnes,25992,Recycled,Total Waste
S12000040,2011,Ratio,Percentage,0,Other Diversion,Total Waste
S12000035,2011,Count,Tonnes,190,Recycled,Textile wastes
S12000017,2011,Count,Tonnes,0,Other Diversion,Household and similar wastes
S12000019,2011,Count,Tonnes,8,Waste Generated,Chemical wastes
S12000029,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000017,2011,Count,Tonnes,2402,Waste Generated,Wood wastes
S12000034,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Wood wastes
S12000013,2011,Count,Tonnes,0,Recycled (pre 2014 method),Animal and mixed food waste
S12000013,2011,Count,Tonnes,0,Recycled,Chemical wastes
S12000029,2011,Count,Tonnes,0,Other Diversion,Animal and mixed food waste
S92000003,2011,Count,Tonnes,0,Landfilled,Plastic wastes
S12000029,2011,Count,Tonnes,9480,Recycled (pre 2014 method),Mineral waste from construction and demolition
S12000035,2011,Count,Tonnes,0,Other Diversion,Plastic wastes
S12000013,2011,Count,Tonnes,4,Recycled (pre 2014 method),Used oils
S12000040,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, non-ferrous"
S12000040,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Batteries and accumulators wastes
S12000019,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, ferrous"
S12000040,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Wood wastes
S12000029,2011,Count,Tonnes,0,Recycled (pre 2014 method),Animal and mixed food waste
S12000040,2011,Ratio,Percentage,0,Other Diversion (pre 2014 method),Total Waste
S12000013,2011,Count,Tonnes,311,Waste Generated,Paper and cardboard wastes
S12000041,2011,Count,Tonnes,6,Waste Generated,Chemical wastes
S12000049,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, non-ferrous"
S12000040,2011,Count,Tonnes,0,Recycled,Discarded vehicles
S12000034,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mineral waste from construction and demolition
S12000013,2011,Count,Tonnes,0,Recycled,Combustion wastes
S12000039,2011,Count,Tonnes,0,Other Diversion,Paper and cardboard wastes
S12000033,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Glass wastes
S12000017,2011,Ratio,Percentage,44,Recycled,Total Waste
S12000035,2011,Count,Tonnes,0,Waste Generated,Combustion wastes
S12000042,2011,Count,Tonnes,1604,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000041,2011,Count,Tonnes,0,Other Diversion,Batteries and accumulators wastes
S12000049,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Chemical wastes
S12000042,2011,Count,Tonnes,17,Waste Generated,"Metallic wastes, non-ferrous"
S12000040,2011,Count,Tonnes,0,Other Diversion,Used oils
S12000017,2011,Count,Tonnes,1001,Recycled (pre 2014 method),Household and similar wastes
S12000050,2011,Count,Tonnes,16,Recycled,Used oils
S12000050,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Rubber wastes
S12000041,2011,Count,Tonnes,1279,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000039,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Soils
S12000019,2011,Count,Tonnes,0,Recycled,Health care and biological wastes
S92000003,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Textile wastes
S12000040,2011,Count,Tonnes,0,Landfilled,Rubber wastes
S12000039,2011,Count,Tonnes,0,Other Diversion,Vegetal wastes
S12000029,2011,Count,Tonnes,0,Landfilled,Discarded vehicles
S12000042,2011,Count,Tonnes,770,Recycled (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000017,2011,Count,Tonnes,75,Recycled (pre 2014 method),"Metallic wastes, non-ferrous"
S12000019,2011,Count,Tonnes,8,Recycled,Chemical wastes
S12000035,2011,Count,Tonnes,1540,Recycled (pre 2014 method),Vegetal wastes
S12000029,2011,Count,Tonnes,0,Other Diversion,Mixed and undifferentiated materials
S12000029,2011,Count,Tonnes,0,Other Diversion,Wood wastes
S12000041,2011,Count,Tonnes,6,Recycled,Animal and mixed food waste
S12000042,2011,Count,Tonnes,0,Landfilled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000033,2011,Count,Tonnes,0,Other Diversion,Rubber wastes
S92000003,2011,Count,Tonnes,0,Landfilled,Soils
S92000003,2011,Count,Tonnes,48510,Waste Generated,Animal and mixed food waste
S12000029,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Soils
S12000013,2011,Count,Tonnes,120,Waste Generated,Plastic wastes
S12000019,2011,Count,Tonnes,0,Other Diversion,Glass wastes
S12000017,2011,Count,Tonnes,0,Landfilled,Glass wastes
S12000045,2011,Count,Tonnes,0,Landfilled,Rubber wastes
S12000013,2011,Count,Tonnes,38,Recycled,Textile wastes
S12000017,2011,Count,Tonnes,43,Waste Generated,Used oils
S12000013,2011,Count,Tonnes,0,Recycled,Soils
S12000039,2011,Count,Tonnes,0,Recycled,Used oils
S12000042,2011,Count,Tonnes,1996,Recycled,Wood wastes
S12000013,2011,Count,Tonnes,3,Recycled,Rubber wastes
S12000033,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, ferrous"
S12000029,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Animal and mixed food waste
S12000013,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Plastic wastes
S12000017,2011,Count,Tonnes,0,Other Diversion,Animal and mixed food waste
S12000034,2011,Count,Tonnes,393,Recycled (pre 2014 method),Animal and mixed food waste
S12000013,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Combustion wastes
S12000049,2011,Count,Tonnes,0,Other Diversion,Soils
S12000050,2011,Count,Tonnes,94,Other Diversion,Total Waste
S12000017,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Vegetal wastes
S12000042,2011,Count,Tonnes,157,Recycled (pre 2014 method),Textile wastes
S12000040,2011,Count,Tonnes,12,Recycled (pre 2014 method),Chemical wastes
S12000050,2011,Count,Tonnes,1290,Recycled,"Metallic wastes, ferrous"
S12000019,2011,Count,Tonnes,0,Landfilled,Plastic wastes
S12000029,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Plastic wastes
S12000039,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Vegetal wastes
S12000050,2011,Count,Tonnes,0,Landfilled,Batteries and accumulators wastes
S12000039,2011,Count,Tonnes,0,Waste Generated,Soils
S12000045,2011,Count,Tonnes,0,Landfilled,Vegetal wastes
S12000041,2011,Count,Tonnes,6,Recycled (pre 2014 method),Animal and mixed food waste
S12000017,2011,Count,Tonnes,8101,Recycled,Mineral waste from construction and demolition
S12000017,2011,Count,Tonnes,0,Other Diversion,Glass wastes
S12000039,2011,Count,Tonnes,5440,Recycled (pre 2014 method),Vegetal wastes
S12000042,2011,Count,Tonnes,969,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000040,2011,Count,Tonnes,120,Other Diversion,Total Waste
S12000019,2011,Count,Tonnes,165,Waste Generated,Soils
S12000033,2011,Count,Tonnes,4225,Recycled (pre 2014 method),Glass wastes
S12000029,2011,Count,Tonnes,0,Recycled (pre 2014 method),Discarded vehicles
S12000042,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000029,2011,Count,Tonnes,250,Waste Generated,Mixed and undifferentiated materials
S12000033,2011,Count,Tonnes,4225,Recycled,Glass wastes
S12000040,2011,Count,Tonnes,120,Other Diversion (pre 2014 method),Total Waste
S12000039,2011,Ratio,Percentage,45,Recycled (pre 2014 method),Total Waste
S12000029,2011,Count,Tonnes,0,Recycled (pre 2014 method),Health care and biological wastes
S12000039,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000019,2011,Count,Tonnes,4626,Recycled,Paper and cardboard wastes
S12000019,2011,Ratio,Percentage,47,Recycled,Total Waste
S12000050,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Textile wastes
S12000045,2011,Count,Tonnes,410,Waste Generated,Wood wastes
S12000045,2011,Count,Tonnes,0,Other Diversion,Used oils
S92000003,2011,Count,Tonnes,35281,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000035,2011,Count,Tonnes,0,Landfilled,Combustion wastes
S12000019,2011,Count,Tonnes,4,Recycled (pre 2014 method),Mixed and undifferentiated materials
S12000029,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000029,2011,Count,Tonnes,2911,Recycled (pre 2014 method),Plastic wastes
S12000033,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Batteries and accumulators wastes
S12000029,2011,Count,Tonnes,2401,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S92000003,2011,Count,Tonnes,389,Waste Generated,Discarded vehicles
S12000034,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Discarded vehicles
S12000029,2011,Count,Tonnes,1769,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S92000003,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Plastic wastes
S12000019,2011,Count,Tonnes,567,Recycled (pre 2014 method),Plastic wastes
S12000049,2011,Count,Tonnes,5544,Waste Generated,Mineral waste from construction and demolition
S12000019,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Plastic wastes
S12000035,2011,Ratio,Percentage,30,Recycled,Total Waste
S12000017,2011,Count,Tonnes,2526,Recycled (pre 2014 method),Wood wastes
S12000045,2011,Count,Tonnes,0,Other Diversion,Mineral waste from construction and demolition
S12000017,2011,Count,Tonnes,0,Landfilled,Mineral waste from construction and demolition
S12000013,2011,Count,Tonnes,4379,Recycled (pre 2014 method),Total Waste
S12000049,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mineral waste from construction and demolition
S12000041,2011,Count,Tonnes,10670,Waste Generated,Vegetal wastes
S12000033,2011,Count,Tonnes,12,Recycled,Batteries and accumulators wastes
S12000019,2011,Count,Tonnes,823,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000050,2011,Count,Tonnes,16895,Recycled (pre 2014 method),Paper and cardboard wastes
S12000034,2011,Count,Tonnes,1555,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000033,2011,Count,Tonnes,0,Landfilled,Combustion wastes
S12000041,2011,Count,Tonnes,0,Recycled,Soils
S12000050,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000035,2011,Count,Tonnes,33,Recycled,"Metallic wastes, non-ferrous"
S12000049,2011,Count,Tonnes,0,Recycled,Discarded vehicles
S12000029,2011,Count,Tonnes,9,Recycled (pre 2014 method),Used oils
S12000019,2011,Count,Tonnes,0,Recycled,Discarded vehicles
S92000003,2011,Count,Tonnes,0,Landfilled,Rubber wastes
S92000003,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, non-ferrous"
S12000039,2011,Count,Tonnes,0,Recycled,Mixed and undifferentiated materials
S12000035,2011,Count,Tonnes,680,Recycled (pre 2014 method),Animal and mixed food waste
S12000019,2011,Count,Tonnes,567,Recycled,Plastic wastes
S12000029,2011,Count,Tonnes,2401,Recycled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000017,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000017,2011,Count,Tonnes,8033,Waste Generated,Mineral waste from construction and demolition
S12000041,2011,Count,Tonnes,0,Landfilled,Used oils
S12000029,2011,Count,Tonnes,8602,Waste Generated,Mineral waste from construction and demolition
S12000050,2011,Count,Tonnes,264,Waste Generated,Paper and cardboard wastes
S12000049,2011,Count,Tonnes,0,Other Diversion,Household and similar wastes
S12000017,2011,Count,Tonnes,68695,Landfilled,Household and similar wastes
S12000029,2011,Count,Tonnes,0,Recycled,"Metallic wastes, non-ferrous"
S12000035,2011,Count,Tonnes,1540,Waste Generated,Vegetal wastes
S12000050,2011,Count,Tonnes,371,Recycled (pre 2014 method),"Metallic wastes, non-ferrous"
S12000029,2011,Count,Tonnes,2911,Recycled,Plastic wastes
S12000042,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000019,2011,Count,Tonnes,0,Other Diversion,Batteries and accumulators wastes
S12000039,2011,Count,Tonnes,0,Other Diversion,Textile wastes
S12000029,2011,Count,Tonnes,9,Waste Generated,Used oils
S12000034,2011,Count,Tonnes,13452,Recycled,Paper and cardboard wastes
S12000041,2011,Count,Tonnes,3273,Landfilled,Combustion wastes
S12000049,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, ferrous"
S92000003,2011,Count,Tonnes,0,Landfilled,Mixed and undifferentiated materials
S12000041,2011,Count,Tonnes,37,Waste Generated,Discarded vehicles
S12000013,2011,Count,Tonnes,101,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S92000003,2011,Count,Tonnes,0,Other Diversion,Rubber wastes
S12000017,2011,Count,Tonnes,0,Landfilled,Textile wastes
S12000019,2011,Count,Tonnes,20687,Recycled,Total Waste
S12000017,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Wood wastes
S12000017,2011,Count,Tonnes,1100,Recycled (pre 2014 method),Textile wastes
S12000049,2011,Count,Tonnes,2849,Recycled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000041,2011,Count,Tonnes,0,Recycled (pre 2014 method),Soils
S12000042,2011,Count,Tonnes,770,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000035,2011,Count,Tonnes,1009,Recycled (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000019,2011,Count,Tonnes,0,Recycled,"Metallic wastes, non-ferrous"
S92000003,2011,Count,Tonnes,29299,Recycled (pre 2014 method),Plastic wastes
S12000034,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, non-ferrous"
S12000039,2011,Count,Tonnes,0,Recycled (pre 2014 method),Mixed and undifferentiated materials
S12000039,2011,Count,Tonnes,4660,Recycled,Paper and cardboard wastes
S12000019,2011,Count,Tonnes,0,Landfilled,Paper and cardboard wastes
S12000041,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Health care and biological wastes
S92000003,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Rubber wastes
S12000039,2011,Count,Tonnes,65,Recycled,"Metallic wastes, ferrous"
S12000029,2011,Count,Tonnes,0,Other Diversion,Rubber wastes
S12000033,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Combustion wastes
S12000050,2011,Count,Tonnes,0,Landfilled,Health care and biological wastes
S12000050,2011,Count,Tonnes,3,Waste Generated,"Metallic wastes, ferrous"
S12000033,2011,Count,Tonnes,691,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000049,2011,Count,Tonnes,18202,Recycled,Vegetal wastes
S12000033,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mixed and undifferentiated materials
S12000035,2011,Count,Tonnes,26126,Landfilled,Household and similar wastes
S12000050,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Batteries and accumulators wastes
S92000003,2011,Count,Tonnes,0,Other Diversion,Animal and mixed food waste
S12000035,2011,Count,Tonnes,1051,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000029,2011,Count,Tonnes,0,Landfilled,Mixed and undifferentiated materials
S12000013,2011,Count,Tonnes,0,Recycled (pre 2014 method),Household and similar wastes
S12000029,2011,Count,Tonnes,0,Waste Generated,Plastic wastes
S12000041,2011,Count,Tonnes,482,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000033,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000029,2011,Count,Tonnes,0,Other Diversion,Health care and biological wastes
S12000035,2011,Count,Tonnes,0,Other Diversion,Mineral waste from construction and demolition
S12000045,2011,Count,Tonnes,9944,Recycled (pre 2014 method),Vegetal wastes
S12000029,2011,Count,Tonnes,0,Recycled,Soils
S12000045,2011,Ratio,Percentage,62,Landfilled,Total Waste
S12000035,2011,Count,Tonnes,2,Recycled (pre 2014 method),Mixed and undifferentiated materials
S12000033,2011,Count,Tonnes,0,Landfilled,Batteries and accumulators wastes
S12000013,2011,Count,Tonnes,0,Other Diversion,Plastic wastes
S12000029,2011,Count,Tonnes,0,Recycled (pre 2014 method),"Metallic wastes, non-ferrous"
S12000035,2011,Count,Tonnes,0,Landfilled,Wood wastes
S12000019,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000017,2011,Count,Tonnes,0,Landfilled,Plastic wastes
S12000013,2011,Count,Tonnes,0,Other Diversion,Used oils
S12000035,2011,Count,Tonnes,225,Waste Generated,Plastic wastes
S12000035,2011,Ratio,Percentage,14,Other Diversion (pre 2014 method),Total Waste
S12000029,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, non-ferrous"
S12000019,2011,Count,Tonnes,293,Waste Generated,Textile wastes
S12000019,2011,Count,Tonnes,0,Landfilled,Batteries and accumulators wastes
S12000029,2011,Count,Tonnes,0,Other Diversion,Plastic wastes
S12000029,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, mixed ferrous and non-ferrous"
S12000033,2011,Count,Tonnes,0,Landfilled,Paper and cardboard wastes
S12000017,2011,Count,Tonnes,67,Other Diversion,Combustion wastes
S12000033,2011,Count,Tonnes,691,Waste Generated,"Metallic wastes, mixed ferrous and non-ferrous"
S92000003,2011,Count,Tonnes,8071,Other Diversion (pre 2014 method),Combustion wastes
S12000029,2011,Count,Tonnes,0,Waste Generated,Health care and biological wastes
S12000017,2011,Count,Tonnes,185,Waste Generated,Plastic wastes
S12000013,2011,Count,Tonnes,2228,Recycled,Vegetal wastes
S12000019,2011,Count,Tonnes,820,Waste Generated,"Metallic wastes, mixed ferrous and non-ferrous"
S12000042,2011,Count,Tonnes,1604,Other Diversion,"Metallic wastes, mixed ferrous and non-ferrous"
S12000029,2011,Count,Tonnes,15045,Recycled (pre 2014 method),Paper and cardboard wastes
S92000003,2011,Count,Tonnes,15111,Recycled,Mixed and undifferentiated materials
S12000019,2011,Count,Tonnes,0,Waste Generated,"Metallic wastes, ferrous"
S12000035,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, non-ferrous"
S12000019,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, non-ferrous"
S92000003,2011,Count,Tonnes,18193,Recycled,Animal and mixed food waste
S12000013,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
